request_id,worker_id,st_from,start_time,minutes_to_st1,on_place_time,wait_minutes,start_request_time,st1,st2,path_minutes,end_time
-1,160,Белорусская КЛ,2024-04-24 08:08:40,0,2024-04-24 08:08:40,0,2024-04-24 22:20:00,Обед,Новокосино,60,2024-04-24 23:20:00
-1,850,Белорусская КЛ,2024-04-24 08:23:20,0,2024-04-24 08:23:20,0,2024-04-24 22:20:00,Обед,Новокосино,60,2024-04-24 23:20:00
-1,860,ВДНХ,2024-04-24 13:43:10,0,2024-04-24 13:43:10,0,2024-04-24 14:00:00,Обед,Беговая,60,2024-04-24 15:00:00
-1,961,Бульвар Дмитрия Донского,2024-04-24 10:44:50,0,2024-04-24 10:44:50,0,2024-04-24 11:00:00,Обед,Охотный ряд,60,2024-04-24 12:00:00
-1,406,Дубровка,2024-04-24 12:31:30,0,2024-04-24 12:31:30,0,2024-04-24 13:45:00,Обед,БКЛ Кленовый бульвар,60,2024-04-24 14:45:00
-1,960,Китай город КРЛ,2024-04-24 17:28:40,0,2024-04-24 17:28:40,0,2024-04-24 17:30:00,Обед,Беляево,60,2024-04-24 18:30:00
-1,1060,Новокосино,2024-04-24 15:21:50,0,2024-04-24 15:21:50,0,2024-04-24 15:45:00,Обед,Студенческая,60,2024-04-24 16:45:00
-1,203,Пролетарская,2024-04-24 15:03:20,0,2024-04-24 15:03:20,0,2024-04-24 15:30:00,Обед,ВДНХ,60,2024-04-24 16:30:00
-1,695,Бульвар Дмитрия Донского,2024-04-24 10:53:23,0,2024-04-24 10:53:23,0,2024-04-24 11:00:00,Обед,Охотный ряд,60,2024-04-24 12:00:00
-1,200,Сходненская,2024-04-24 10:44:20,0,2024-04-24 10:44:20,0,2024-04-24 11:00:00,Обед,Нагатинская,60,2024-04-24 12:00:00
-1,131,Академическая,2024-04-24 13:50:00,0,2024-04-24 13:50:00,0,2024-04-24 14:00:00,Обед,Чистые пруды,60,2024-04-24 15:00:00
-1,319,Крестьянская застава,2024-04-24 17:59:50,0,2024-04-24 17:59:50,0,2024-04-24 18:30:00,Обед,Печатники,60,2024-04-24 19:30:00
-1,11,Проспект Вернадского,2024-04-24 16:28:30,0,2024-04-24 16:28:30,0,2024-04-24 17:15:00,Обед,БКЛ Варшавская,60,2024-04-24 18:15:00
-1,305,ВДНХ,2024-04-24 10:18:40,0,2024-04-24 10:18:40,0,2024-04-24 10:43:15,Обед,Павелецкая КЛ,60,2024-04-24 11:43:15
-1,651,Чертановская,2024-04-24 14:45:00,0,2024-04-24 14:45:00,0,2024-04-24 15:05:00,Обед,ВДНХ,60,2024-04-24 16:05:00
-1,192,Бульвар Рокоссовского,2024-04-24 15:34:00,0,2024-04-24 15:34:00,0,2024-04-24 16:00:00,Обед,Ховрино,60,2024-04-24 17:00:00
-1,1255,Тверская,2024-04-24 15:45:00,0,2024-04-24 15:45:00,0,2024-04-24 16:00:00,Обед,Царицыно МЦД-2,60,2024-04-24 17:00:00
-1,1202,МЦК Шелепиха,2024-04-24 16:16:00,0,2024-04-24 16:16:00,0,2024-04-24 17:00:00,Обед,Нижегородская МЦД-4,60,2024-04-24 18:00:00
-1,642,БКЛ Шелепиха,2024-04-24 16:13:40,0,2024-04-24 16:13:40,0,2024-04-24 16:45:00,Обед,Алтуфьево,60,2024-04-24 17:45:00
-1,788,Новослободская,2024-04-24 17:49:30,0,2024-04-24 17:49:30,0,2024-04-24 18:00:00,Обед,БКЛ Мичуринский проспект,60,2024-04-24 19:00:00
-1,917,Бульвар Дмитрия Донского,2024-04-24 10:53:23,0,2024-04-24 10:53:23,0,2024-04-24 11:00:00,Обед,Охотный ряд,60,2024-04-24 12:00:00
-1,133,Курская КЛ,2024-04-24 15:13:40,0,2024-04-24 15:13:40,0,2024-04-24 16:00:00,Обед,Арбатская АПЛ,60,2024-04-24 17:00:00
-1,15,Университет,2024-04-24 12:29:10,0,2024-04-24 12:29:10,0,2024-04-24 13:40:00,Обед,Южная,60,2024-04-24 14:40:00
-1,23,Рязанский проспект,2024-04-24 16:47:30,0,2024-04-24 16:47:30,0,2024-04-24 17:55:00,Обед,ВДНХ,60,2024-04-24 18:55:00
-1,123,Студенческая,2024-04-24 16:45:30,0,2024-04-24 16:45:30,0,2024-04-24 17:00:00,Обед,Сходненская,60,2024-04-24 18:00:00
-1,74,ВДНХ,2024-04-24 13:43:10,0,2024-04-24 13:43:10,0,2024-04-24 14:00:00,Обед,Беговая,60,2024-04-24 15:00:00
-1,525,Бульвар Дмитрия Донского,2024-04-24 10:44:50,0,2024-04-24 10:44:50,0,2024-04-24 11:00:00,Обед,Охотный ряд,60,2024-04-24 12:00:00
-1,298,Бауманская,2024-04-24 16:17:12,0,2024-04-24 16:17:12,0,2024-04-24 17:30:00,Обед,Щёлковская,60,2024-04-24 18:30:00
-1,70,Чертановская,2024-04-24 14:40:00,0,2024-04-24 14:40:00,0,2024-04-24 15:05:00,Обед,ВДНХ,60,2024-04-24 16:05:00
-1,4,Волжская,2024-04-24 14:48:00,0,2024-04-24 14:48:00,0,2024-04-24 15:05:00,Обед,ВДНХ,60,2024-04-24 16:05:00
-1,269,БКЛ Шелепиха,2024-04-24 16:27:10,0,2024-04-24 16:27:10,0,2024-04-24 17:30:00,Обед,Волжская,60,2024-04-24 18:30:00
-1,437,Бульвар Дмитрия Донского,2024-04-24 10:44:50,0,2024-04-24 10:44:50,0,2024-04-24 11:00:00,Обед,Охотный ряд,60,2024-04-24 12:00:00
-1,705,Бульвар Рокоссовского,2024-04-24 15:21:01,0,2024-04-24 15:21:01,0,2024-04-24 15:50:00,Обед,Коломенская,60,2024-04-24 16:50:00
-1,342,Новослободская,2024-04-24 17:49:30,0,2024-04-24 17:49:30,0,2024-04-24 18:00:00,Обед,БКЛ Мичуринский проспект,60,2024-04-24 19:00:00
-1,18,Полежаевская,2024-04-24 16:18:30,0,2024-04-24 16:18:30,0,2024-04-24 17:30:00,Обед,Пролетарская,60,2024-04-24 18:30:00
-1,608,Динамо,2024-04-24 17:55:40,0,2024-04-24 17:55:40,0,2024-04-24 18:30:00,Обед,Домодедовская,60,2024-04-24 19:30:00
-1,79,Бульвар Рокоссовского,2024-04-24 14:57:00,0,2024-04-24 14:57:00,0,2024-04-24 15:20:00,Обед,Аэропорт Внуково,60,2024-04-24 16:20:00
-1,21,Нагатинская,2024-04-24 17:27:00,0,2024-04-24 17:27:00,0,2024-04-24 18:10:00,Обед,Сходненская,60,2024-04-24 19:10:00
-1,529,Бульвар Дмитрия Донского,2024-04-24 10:53:23,0,2024-04-24 10:53:23,0,2024-04-24 11:00:00,Обед,Охотный ряд,60,2024-04-24 12:00:00
-1,1258,Измайловская,2024-04-24 13:49:07,0,2024-04-24 13:49:07,0,2024-04-24 15:00:00,Обед,Домодедовская,60,2024-04-24 16:00:00
-1,514,Серпуховская,2024-04-24 17:47:00,0,2024-04-24 17:47:00,0,2024-04-24 18:10:00,Обед,Цветной бульвар,60,2024-04-24 19:10:00
-1,1222,ВДНХ,2024-04-24 18:16:50,0,2024-04-24 18:16:50,0,2024-04-24 19:00:00,Обед,Белорусская ЗЛ,60,2024-04-24 20:00:00
-1,236,ВДНХ,2024-04-24 16:48:20,0,2024-04-24 16:48:20,0,2024-04-24 19:30:00,Обед,Пролетарская,60,2024-04-24 20:30:00
-1,1177,Щёлковская,2024-04-24 14:33:50,0,2024-04-24 14:33:50,0,2024-04-24 15:05:00,Обед,ВДНХ,60,2024-04-24 16:05:00
-1,460,Полежаевская,2024-04-24 15:11:00,0,2024-04-24 15:11:00,0,2024-04-24 15:50:00,Обед,Планерная,60,2024-04-24 16:50:00
-1,148,Сходненская,2024-04-24 13:06:20,0,2024-04-24 13:06:20,0,2024-04-24 13:30:00,Обед,Студенческая,60,2024-04-24 14:30:00
-1,296,ВДНХ,2024-04-24 18:52:30,0,2024-04-24 18:52:30,0,2024-04-24 19:00:00,Обед,Белорусская ЗЛ,60,2024-04-24 20:00:00
-1,246,МЦК Шелепиха,2024-04-24 17:34:00,0,2024-04-24 17:34:00,0,2024-04-24 19:30:00,Обед,Студенческая,60,2024-04-24 20:30:00
